train_loss,epoch,step,val_loss
-1.9896224450157356,0,49,
-2.543983275735977,0,99,
-2.5334529198666034,0,149,
-2.675557273736217,0,199,
-2.50983344464281,0,249,
,0,249,-2.7053378574098796
-2.6675147059173177,1,299,
-2.9050972392487813,1,349,
-2.835664028241654,1,399,
-2.938483826249864,1,449,
-2.685067519940739,1,499,
,1,499,-2.769952207885144
-2.7066570319458783,2,549,
-3.0947004102322384,2,599,
-3.02945871949855,2,649,
-3.0125721206159577,2,699,
-2.7441420127649216,2,749,
,2,749,-2.553133093154977
-2.86908953960877,3,799,
-3.096049594799835,3,849,
-3.144641946856782,3,899,
-2.9895760445930164,3,949,
-2.9495580666897725,3,999,
,3,999,-2.7150618210647854
-2.934682453896927,4,1049,
-3.0840396983675546,4,1099,
-3.18053148088973,4,1149,
-2.995597988656019,4,1199,
-2.8214794008460387,4,1249,
,4,1249,-2.8780628680122216
-2.934917196887943,5,1299,
-3.0383232244189164,5,1349,
-3.2830204133927503,5,1399,
-3.068273377328659,5,1449,
-2.8978760407418607,5,1499,
,5,1499,-2.8548360482572326
-2.9447255970804096,6,1549,
-2.8289934231269336,6,1599,
-3.081261414260357,6,1649,
-3.139362851585534,6,1699,
-2.85964789738688,6,1749,
,6,1749,-2.905316206816889
-2.8949431215983017,7,1799,
-3.1619410039308504,7,1849,
-3.252260164058895,7,1899,
-3.1043917607777063,7,1949,
-2.9714127284587244,7,1999,
,7,1999,-2.8435132111845367
-2.988085377120226,8,2049,
-3.1112405449672833,8,2099,
-3.150623688140602,8,2149,
-3.0962109212981628,8,2199,
-3.0050351349440336,8,2249,
,8,2249,-2.920336964802578
-3.034706627181601,9,2299,
-3.1267391080857885,9,2349,
-3.0557360479378293,9,2399,
-3.160085291536774,9,2449,
-3.049045951140319,9,2499,
,9,2499,-2.860092382447007
-2.969911322447707,10,2549,
-3.1798560624506997,10,2599,
-3.1900260291554146,10,2649,
-3.1083516215281506,10,2699,
-2.9875997560407637,10,2749,
,10,2749,-2.9133014558556463
-2.9607901663739975,11,2799,
-3.262278685059006,11,2849,
-3.2054953278135185,11,2899,
-3.0984959790968083,11,2949,
-3.0847458289032685,11,2999,
,11,2999,-2.8548102105598017
-3.0142284486794475,12,3049,
-3.2494226787474503,12,3099,
-3.233536359305126,12,3149,
-3.08686267409501,12,3199,
-3.035543962966373,12,3249,
,12,3249,-2.9378877813879254
-2.999971294155145,13,3299,
-3.1182642634158766,13,3349,
-3.300135241000782,13,3399,
-3.140402206320089,13,3449,
-3.081299001312396,13,3499,
,13,3499,-2.7552062868590323
-3.0888398492010682,14,3549,
-3.1563014271492573,14,3599,
-3.274765317353862,14,3649,
-3.0798300199935795,14,3699,
-3.126442895036612,14,3749,
,14,3749,-2.7506024959353232
-3.1303672433115404,15,3799,
-3.1737913831198155,15,3849,
-3.3623195573491063,15,3899,
-3.1288397666127725,15,3949,
-3.088150113873593,15,3999,
,15,3999,-2.818731651004446
-3.1367338972205436,16,4049,
-3.2659352478931494,16,4099,
-3.3402744967117597,16,4149,
-3.1254145623247087,16,4199,
-3.2093222823949645,16,4249,
,16,4249,-2.862164676330944
-3.154479655355216,17,4299,
-3.2609401730694145,17,4349,
-3.311440834898862,17,4399,
-3.1575362821461788,17,4449,
-3.201306393983851,17,4499,
,17,4499,-2.786852307404983
